gene	position	subunit	MFH	normalized_MFH	type
TraesCS2A01G312900	301	S3	13.56943997	6.339835668	TVGs
TraesCS2A01G326100	286	S3	2.395665964	0.014815108	TVGs
TraesCS2A01G335400	1891	S3	1.932936323	-0.247117386	TVGs
TraesCS2A01G409800	1280	S3	3.964452172	0.902841393	TVGs
TraesCS2A01G414300	124	S3	2.30010346	-0.039278952	TVGs
TraesCS2A01G420600	1969	S3	1.652961004	-0.405600065	TVGs
TraesCS2A01G443200	1042	S3	1.79126305	-0.327312883	TVGs
TraesCS2A01G452000	657	S3	3.420495862	0.594929774	TVGs
TraesCS2A01G465400	108	S3	1.464896569	-0.512055719	TVGs
TraesCS2A01G511900	1933	S3	1.389932659	-0.55448975	TVGs
TraesCS2A01G525300	1701	S3	1.372482193	-0.564367752	TVGs
TraesCS2A01G531400	107	S3	2.435442017	0.03733072	TVGs
TraesCS2A01G534600	1932	S3	6.393010758	2.277549972	TVGs
TraesCS2A01G553500	216	S3	1.315371118	-0.596696016	TVGs
TraesCS2B01G091600	172	S3	2.348713871	-0.011762568	TVGs
TraesCS2B01G127900	715	S3	1.565278688	-0.45523347	TVGs
TraesCS2B01G167900	242	S3	3.064474052	0.393400258	TVGs
TraesCS2B01G245900	1212	S3	4.026244267	0.937819394	TVGs
TraesCS2B01G270000	1065	S3	1.108863402	-0.713591664	TVGs
TraesCS2B01G294000	64	S3	1.146702163	-0.692172675	TVGs
TraesCS2B01G294500	193	S3	6.162613762	2.147131572	TVGs
TraesCS2B01G299000	600	S3	1.236363869	-0.641418818	TVGs
TraesCS2B01G344400	1291	S3	1.456470176	-0.516825559	TVGs
TraesCS2B01G351100	707	S3	3.046724736	0.38335309	TVGs
TraesCS2B01G355900	280	S3	2.211335381	-0.089526963	TVGs
TraesCS2B01G357300	1318	S3	1.160302985	-0.684473801	TVGs
TraesCS2B01G374700	173	S3	1.2290454	-0.645561506	TVGs
TraesCS2B01G390900	1271	S3	2.365687165	-0.002154674	TVGs
TraesCS2B01G396500	119	S3	3.769270571	0.792357	TVGs
TraesCS2B01G396700	765	S3	2.41117932	0.023596591	TVGs
TraesCS2B01G417000	164	S3	1.820335845	-0.310855952	TVGs
TraesCS2B01G444000	1590	S3	1.873388808	-0.28082482	TVGs
TraesCS2B01G486100	30	S3	1.256376496	-0.630090481	TVGs
TraesCS2B01G491700	444	S3	1.111355553	-0.712180958	TVGs
TraesCS2B01G546100	1454	S3	1.35309174	-0.575343901	TVGs
TraesCS2B01G603000	389	S3	4.156611855	1.011615201	TVGs
TraesCS2B01G615500	1462	S3	1.276893323	-0.618476736	TVGs
TraesCS2D01G006200	411	S3	1.641219712	-0.412246335	TVGs
TraesCS2D01G016400	1351	S3	1.818236881	-0.312044091	TVGs
TraesCS2D01G041000	159	S3	2.193997217	-0.099341395	TVGs
TraesCS2D01G099500	1683	S3	1.99226229	-0.21353536	TVGs
TraesCS2D01G119200	1180	S3	1.659118651	-0.402114471	TVGs
TraesCS2D01G123000	1490	S3	2.136348471	-0.131974013	TVGs
TraesCS2D01G132300	609	S3	2.706444693	0.19073435	TVGs
TraesCS2D01G169300	1472	S3	1.914853838	-0.257353147	TVGs
TraesCS2D01G181900	336	S3	2.416172636	0.026423104	TVGs
TraesCS2D01G205900	1057	S3	1.64759128	-0.408639648	TVGs
TraesCS2D01G220500	1200	S3	1.532565592	-0.473751028	TVGs
TraesCS2D01G284700	1655	S3	3.17288578	0.454767743	TVGs
TraesCS2D01G311400	303	S3	16.16421471	7.808632475	TVGs
TraesCS2D01G365100	1767	S3	1.138757548	-0.6966698	TVGs
TraesCS2D01G396500	163	S3	1.730696791	-0.361596987	TVGs
TraesCS2D01G403700	206	S3	3.853189689	0.839860212	TVGs
TraesCS2D01G408700	1501	S3	1.843012227	-0.298019771	TVGs
TraesCS2D01G411600	150	S3	2.686854929	0.179645379	TVGs
TraesCS2D01G447900	1410	S3	2.378660557	0.005189037	TVGs
TraesCS2D01G465800	120	S3	1.663012208	-0.399910486	TVGs
TraesCS2D01G479500	1	S3	1.285347749	-0.613691029	TVGs
TraesCS2D01G496500	1634	S3	1.263642835	-0.625977301	TVGs
TraesCS2D01G511800	1069	S3	1.811504405	-0.315855072	TVGs
TraesCS2D01G525900	1891	S3	1.308077276	-0.600824765	TVGs
TraesCS2D01G546500	1141	S3	1.904212477	-0.26337679	TVGs
TraesCS2D01G565200	1280	S3	2.335962482	-0.018980613	TVGs
TraesCS2D01G595900	668	S3	4.056862318	0.955151031	TVGs
TraesCS3A01G026500	1381	S3	1.471764018	-0.508168335	TVGs
TraesCS3A01G041000	1640	S3	1.769398362	-0.339689597	TVGs
TraesCS3A01G046500	49	S3	4.28742433	1.085662841	TVGs
TraesCS3A01G085400	431	S3	1.336549664	-0.5847077	TVGs
TraesCS3A01G092800	321	S3	1.657465684	-0.403050149	TVGs
TraesCS3A01G148700	366	S3	1.257494679	-0.629457523	TVGs
TraesCS3A01G155800	1080	S3	2.831304542	0.26141245	TVGs
TraesCS3A01G231900	87	S3	1.381529374	-0.559246509	TVGs
TraesCS3A01G233100	1474	S3	1.213940201	-0.654111947	TVGs
TraesCS3A01G242100	1246	S3	1.08992754	-0.724310488	TVGs
TraesCS3A01G250700	1279	S3	1.033398857	-0.756309084	TVGs
TraesCS3A01G280500	80	S3	1.15047603	-0.690036442	TVGs
TraesCS3A01G318300	1949	S3	2.106905014	-0.148640761	TVGs
TraesCS3A01G320500	1219	S3	4.186503149	1.028535451	TVGs
TraesCS3A01G330600	1322	S3	1.757673806	-0.346326392	TVGs
TraesCS3A01G349900	1969	S3	1.914196919	-0.257725003	TVGs
TraesCS3A01G351600	947	S3	2.231421501	-0.078157025	TVGs
TraesCS3A01G360500	688	S3	1.819405614	-0.311382518	TVGs
TraesCS3A01G362500	1640	S3	1.577806735	-0.448141851	TVGs
TraesCS3A01G366100	948	S3	1.226401113	-0.64705833	TVGs
TraesCS3A01G417700	39	S3	1.295622823	-0.607874726	TVGs
TraesCS3A01G439800	853	S3	1.371415327	-0.564971661	TVGs
TraesCS3A01G460300	726	S3	1.602553548	-0.434133683	TVGs
TraesCS3A01G494400	61	S3	1.459754029	-0.514966703	TVGs
TraesCS3B01G036800	1037	S3	4.860044678	1.40980001	TVGs
TraesCS3B01G048700	439	S3	1.480976856	-0.502953321	TVGs
TraesCS3B01G108000	259	S3	1.765793988	-0.341729887	TVGs
TraesCS3B01G161900	1077	S3	1.081180109	-0.729262054	TVGs
TraesCS3B01G176500	449	S3	3.594751153	0.693568632	TVGs
TraesCS3B01G203800	187	S3	3.254804445	0.501138579	TVGs
TraesCS3B01G210300	1297	S3	1.444238221	-0.523749573	TVGs
TraesCS3B01G218800	134	S3	1.831753225	-0.304393036	TVGs
TraesCS3B01G230100	1324	S3	1.314854698	-0.596988341	TVGs
TraesCS3B01G254700	506	S3	2.478827952	0.061889739	TVGs
TraesCS3B01G322200	253	S3	2.247590712	-0.06900429	TVGs
TraesCS3B01G323600	1907	S3	2.012247295	-0.202222659	TVGs
TraesCS3B01G333100	574	S3	1.615814036	-0.426627458	TVGs
TraesCS3B01G365000	655	S3	1.208601654	-0.657133882	TVGs
TraesCS3B01G370300	1500	S3	2.936470228	0.320942482	TVGs
TraesCS3B01G382500	1944	S3	1.200508598	-0.661715033	TVGs
TraesCS3B01G402200	117	S3	2.444416641	0.042410891	TVGs
TraesCS3B01G406100	1931	S3	3.51861619	0.650471715	TVGs
TraesCS3B01G413200	1230	S3	1.545480215	-0.466440584	TVGs
TraesCS3B01G416200	1736	S3	1.730308265	-0.361816916	TVGs
TraesCS3B01G458800	471	S3	1.311859064	-0.598684048	TVGs
TraesCS3B01G472800	1885	S3	1.52911617	-0.475703606	TVGs
TraesCS3B01G473800	912	S3	1.086159655	-0.726443335	TVGs
TraesCS3B01G474500	157	S3	1.554689788	-0.461227418	TVGs
TraesCS3B01G492900	629	S3	2.12851178	-0.136410047	TVGs
TraesCS3B01G592800	287	S3	1.343018026	-0.581046222	TVGs
TraesCS3B01G597700	655	S3	7.261615998	2.769232192	TVGs
TraesCS3D01G040800	1754	S3	2.290320538	-0.044816667	TVGs
TraesCS3D01G045500	751	S3	16.27858754	7.873374298	TVGs
TraesCS3D01G055400	1833	S3	4.336892057	1.113664516	TVGs
TraesCS3D01G078700	1081	S3	1.215331859	-0.653324186	TVGs
TraesCS3D01G092900	261	S3	3.455205179	0.614577312	TVGs
TraesCS3D01G094200	1856	S3	2.131394459	-0.134778279	TVGs
TraesCS3D01G135400	903	S3	1.462730887	-0.513281624	TVGs
TraesCS3D01G142200	456	S3	1.892744134	-0.269868555	TVGs
TraesCS3D01G156500	354	S3	1.236894708	-0.641118331	TVGs
TraesCS3D01G157300	449	S3	8.470381075	3.453465107	TVGs
TraesCS3D01G179300	191	S3	1.755978692	-0.347285928	TVGs
TraesCS3D01G220000	1490	S3	1.846069425	-0.296289215	TVGs
TraesCS3D01G248200	1251	S3	1.998452898	-0.210031108	TVGs
TraesCS3D01G271800	855	S3	1.651233348	-0.406578021	TVGs
TraesCS3D01G281100	1933	S3	1.378228632	-0.561114925	TVGs
TraesCS3D01G287000	1708	S3	2.893732475	0.296750372	TVGs
TraesCS3D01G318600	1837	S3	1.572291901	-0.451263575	TVGs
TraesCS3D01G360900	1927	S3	2.207660141	-0.091607367	TVGs
TraesCS3D01G377100	1595	S3	1.697678672	-0.380287206	TVGs
TraesCS3D01G384100	685	S3	2.321672458	-0.027069616	TVGs
TraesCS3D01G419700	132	S3	5.403233274	1.717277057	TVGs
TraesCS3D01G478000	632	S3	4.614287119	1.270686617	TVGs
TraesCS3D01G492600	437	S3	1.23375274	-0.642896872	TVGs
TraesCS3D01G497900	821	S3	1.346950053	-0.578820461	TVGs
TraesCS3D01G543100	1037	S3	1.270487839	-0.622102621	TVGs
TraesCS4A01G038500	1026	S3	1.302174425	-0.604166129	TVGs
TraesCS4A01G046800	622	S3	1.486420692	-0.499871786	TVGs
TraesCS4A01G059800	572	S3	2.76048642	0.221325181	TVGs
TraesCS4A01G059900	336	S3	2.049087088	-0.181369145	TVGs
TraesCS4A01G072100	1785	S3	2.514981719	0.082354921	TVGs
TraesCS4A01G098600	174	S3	9.379963181	3.968342669	TVGs
TraesCS4A01G130400	265	S3	2.474557757	0.059472555	TVGs
TraesCS4A01G164000	879	S3	4.38753309	1.142330352	TVGs
TraesCS4A01G173300	895	S3	2.01492811	-0.200705158	TVGs
TraesCS4A01G177500	991	S3	2.295512515	-0.041877699	TVGs
TraesCS4A01G178300	509	S3	2.940803274	0.323395244	TVGs
TraesCS4A01G187800	9	S3	1.39708992	-0.550438315	TVGs
TraesCS4A01G223200	888	S3	2.458697943	0.050494957	TVGs
TraesCS4A01G236200	1667	S3	1.272500991	-0.620963058	TVGs
TraesCS4A01G237500	936	S3	1.775543244	-0.336211228	TVGs
TraesCS4A01G245500	1062	S3	1.232827165	-0.643420802	TVGs
TraesCS4A01G246600	423	S3	2.179222325	-0.107704862	TVGs
TraesCS4A01G257700	1171	S3	1.690503871	-0.38434857	TVGs
TraesCS4A01G257800	722	S3	2.45739023	0.049754714	TVGs
TraesCS4A01G280000	435	S3	1.42177445	-0.536465403	TVGs
TraesCS4A01G283500	1175	S3	2.561219192	0.108528081	TVGs
TraesCS4A01G293000	1539	S3	3.140596711	0.43649021	TVGs
TraesCS4A01G319500	730	S3	1.207304844	-0.657867954	TVGs
TraesCS4A01G330300	1259	S3	1.126295775	-0.703723904	TVGs
TraesCS4A01G357100	313	S3	1.422732031	-0.535923355	TVGs
TraesCS4A01G427500	1076	S3	1.094219448	-0.721881013	TVGs
TraesCS4A01G444200	774	S3	1.143989875	-0.693707991	TVGs
TraesCS4B01G002700	101	S3	1.833601606	-0.303346742	TVGs
TraesCS4B01G014500	1093	S3	1.604686054	-0.432926558	TVGs
TraesCS4B01G015600	323	S3	2.230682799	-0.078575174	TVGs
TraesCS4B01G015800	946	S3	1.213582031	-0.654314693	TVGs
TraesCS4B01G106200	572	S3	3.093634255	0.409906667	TVGs
TraesCS4B01G143700	875	S3	2.158823526	-0.119251796	TVGs
TraesCS4B01G148300	1799	S3	1.134555424	-0.699048452	TVGs
TraesCS4B01G154400	48	S3	1.247687185	-0.635009147	TVGs
TraesCS4B01G155500	1344	S3	2.152252775	-0.122971232	TVGs
TraesCS4B01G171600	126	S3	2.245710635	-0.070068525	TVGs
TraesCS4B01G180200	86	S3	1.202451331	-0.660615331	TVGs
TraesCS4B01G194900	1436	S3	3.503008527	0.64163685	TVGs
TraesCS4B01G201500	888	S3	1.318928476	-0.59468234	TVGs
TraesCS4B01G205700	182	S3	6.701402447	2.452118008	TVGs
TraesCS4B01G209800	996	S3	2.066616017	-0.171446729	TVGs
TraesCS4B01G223400	1721	S3	1.338261116	-0.583738916	TVGs
TraesCS4B01G235000	1461	S3	2.387531311	0.010210411	TVGs
TraesCS4B01G242200	152	S3	2.255567164	-0.064489144	TVGs
TraesCS4B01G244400	1845	S3	1.745987128	-0.352941747	TVGs
TraesCS4B01G263300	1719	S3	1.809714549	-0.316868237	TVGs
TraesCS4B01G267200	1091	S3	1.631569221	-0.417709087	TVGs
TraesCS4B01G344600	623	S3	1.335788694	-0.585138454	TVGs
TraesCS4B01G345700	937	S3	1.766769108	-0.341177911	TVGs
TraesCS4D01G013600	62	S3	1.244612624	-0.636749532	TVGs
TraesCS4D01G055600	223	S3	3.787910672	0.802908406	TVGs
TraesCS4D01G089600	907	S3	2.690435993	0.181672474	TVGs
TraesCS4D01G115100	120	S3	1.035671443	-0.755022665	TVGs
TraesCS4D01G125800	1151	S3	1.353609483	-0.575050828	TVGs
TraesCS4D01G126600	1677	S3	1.16017343	-0.684547137	TVGs
TraesCS4D01G128700	979	S3	1.175021965	-0.676141983	TVGs
TraesCS4D01G133100	511	S3	1.991285731	-0.214088151	TVGs
TraesCS4D01G149400	182	S3	1.051509376	-0.746057453	TVGs
TraesCS4D01G173700	126	S3	1.640023604	-0.412923403	TVGs
TraesCS4D01G181700	86	S3	1.061791228	-0.740237314	TVGs
TraesCS4D01G213100	190	S3	8.988599899	3.746807778	TVGs
TraesCS4D01G228500	740	S3	2.580498886	0.119441534	TVGs
TraesCS4D01G236400	1461	S3	1.999810951	-0.209262369	TVGs
TraesCS4D01G258000	1514	S3	1.365455971	-0.568345011	TVGs
TraesCS4D01G268000	40	S3	4.74924723	1.347082066	TVGs
TraesCS4D01G275300	351	S3	1.498029221	-0.493300668	TVGs
TraesCS4D01G339700	395	S3	1.425907753	-0.534125708	TVGs
TraesCS4D01G348700	1934	S3	2.11383145	-0.144719986	TVGs
TraesCS4D01G363300	10	S3	1.74077463	-0.355892331	TVGs
TraesCS5A01G075400	18	S3	1.362214514	-0.570179869	TVGs
TraesCS5A01G099200	753	S3	1.170721729	-0.678576172	TVGs
TraesCS5A01G102700	1291	S3	1.48484113	-0.500765912	TVGs
TraesCS5A01G118500	1541	S3	1.75511198	-0.347776538	TVGs
TraesCS5A01G120900	1829	S3	1.170511756	-0.67869503	TVGs
TraesCS5A01G153400	170	S3	7.639331087	2.983041394	TVGs
TraesCS5A01G161900	29	S3	1.648264256	-0.408258704	TVGs
TraesCS5A01G164600	500	S3	1.668346877	-0.396890746	TVGs
TraesCS5A01G172600	1335	S3	2.62119521	0.142478073	TVGs
TraesCS5A01G174800	353	S3	1.257366004	-0.62953036	TVGs
TraesCS5A01G175300	373	S3	1.139146749	-0.696449489	TVGs
TraesCS5A01G178600	1396	S3	1.25735809	-0.62953484	TVGs
TraesCS5A01G200600	55	S3	2.36937433	-6.75198E-05	TVGs
TraesCS5A01G231100	79	S3	4.814138288	1.383814263	TVGs
TraesCS5A01G276200	1058	S3	2.855465087	0.275088755	TVGs
TraesCS5A01G308900	754	S3	1.531844222	-0.474159366	TVGs
TraesCS5A01G314800	173	S3	3.20283264	0.471719447	TVGs
TraesCS5A01G372100	380	S3	1.227357156	-0.646517153	TVGs
TraesCS5A01G380900	1402	S3	2.538533302	0.095686518	TVGs
TraesCS5A01G387700	271	S3	1.187917353	-0.668842427	TVGs
TraesCS5A01G395100	1577	S3	1.163513069	-0.682656703	TVGs
TraesCS5A01G398900	1189	S3	1.901748096	-0.264771777	TVGs
TraesCS5A01G401200	581	S3	2.169377725	-0.113277491	TVGs
TraesCS5A01G475300	1624	S3	2.822130848	0.256219593	TVGs
TraesCS5A01G482400	580	S3	5.245943271	1.628241562	TVGs
TraesCS5A01G511100	1674	S3	2.134443381	-0.133052408	TVGs
TraesCS5A01G514800	955	S3	2.1878557	-0.102817859	TVGs
TraesCS5A01G524900	96	S3	1.030220877	-0.75810801	TVGs
TraesCS5A01G528200	761	S3	2.188666748	-0.102358757	TVGs
TraesCS5A01G547300	562	S3	5.135170579	1.565537631	TVGs
TraesCS5A01G548000	571	S3	7.247869766	2.761451007	TVGs
TraesCS5B01G037600	1520	S3	2.505680407	0.077089825	TVGs
TraesCS5B01G092500	851	S3	1.554777466	-0.461177787	TVGs
TraesCS5B01G117700	1223	S3	1.672460744	-0.394562053	TVGs
TraesCS5B01G120500	91	S3	1.366860587	-0.567549915	TVGs
TraesCS5B01G163300	1252	S3	1.341522962	-0.581892517	TVGs
TraesCS5B01G170800	1112	S3	1.676591232	-0.392223951	TVGs
TraesCS5B01G182000	1838	S3	1.333620977	-0.586365511	TVGs
TraesCS5B01G226200	1285	S3	1.530391728	-0.474981564	TVGs
TraesCS5B01G270000	1556	S3	1.435854602	-0.5284952	TVGs
TraesCS5B01G278600	847	S3	2.036576183	-0.188451062	TVGs
TraesCS5B01G300200	1551	S3	1.238468334	-0.640227565	TVGs
TraesCS5B01G320100	178	S3	1.297769785	-0.606659418	TVGs
TraesCS5B01G320200	427	S3	2.902083549	0.301477577	TVGs
TraesCS5B01G348900	829	S3	1.163359131	-0.682743841	TVGs
TraesCS5B01G403400	1740	S3	1.522555561	-0.479417301	TVGs
TraesCS5B01G406000	816	S3	2.172115336	-0.111727841	TVGs
TraesCS5B01G418200	1908	S3	1.099084733	-0.719126972	TVGs
TraesCS5B01G418700	1643	S3	1.083532388	-0.727930524	TVGs
TraesCS5B01G446200	1689	S3	1.354144904	-0.574747748	TVGs
TraesCS5B01G470100	1477	S3	1.965676782	-0.228584339	TVGs
TraesCS5B01G480900	149	S3	3.266774688	0.507914449	TVGs
TraesCS5B01G481000	4	S3	1.085427523	-0.726857765	TVGs
TraesCS5B01G495500	226	S3	5.472346931	1.756399497	TVGs
TraesCS5B01G514200	1941	S3	4.043378893	0.947518611	TVGs
TraesCS5B01G528300	1978	S3	1.856220589	-0.290543053	TVGs
TraesCS5B01G571100	1310	S3	1.975967653	-0.222759094	TVGs
TraesCS5D01G005300	744	S3	1.347969618	-0.578243327	TVGs
TraesCS5D01G032000	649	S3	1.674965798	-0.393144043	TVGs
TraesCS5D01G040000	899	S3	1.239828038	-0.639457892	TVGs
TraesCS5D01G040400	504	S3	1.547561936	-0.465262206	TVGs
TraesCS5D01G042600	1183	S3	2.653482539	0.160754622	TVGs
TraesCS5D01G088900	18	S3	1.96802119	-0.227257264	TVGs
TraesCS5D01G103700	378	S3	2.617677518	0.14048685	TVGs
TraesCS5D01G122600	1153	S3	1.349434496	-0.577414119	TVGs
TraesCS5D01G124800	530	S3	1.305872746	-0.60207266	TVGs
TraesCS5D01G174400	1436	S3	1.442439644	-0.524767674	TVGs
TraesCS5D01G176600	594	S3	2.22539141	-0.081570415	TVGs
TraesCS5D01G177100	1343	S3	2.546723242	0.100322511	TVGs
TraesCS5D01G205500	1153	S3	2.17488693	-0.110158954	TVGs
TraesCS5D01G249200	1889	S3	2.61171438	0.13711136	TVGs
TraesCS5D01G298300	1758	S3	1.235583459	-0.641860576	TVGs
TraesCS5D01G302700	1822	S3	2.245497742	-0.070189035	TVGs
TraesCS5D01G302800	1276	S3	1.503183733	-0.490382908	TVGs
TraesCS5D01G321100	215	S3	3.137984708	0.435011661	TVGs
TraesCS5D01G325800	166	S3	2.267573969	-0.057692578	TVGs
TraesCS5D01G366000	1289	S3	1.12224196	-0.706018605	TVGs
TraesCS5D01G380100	808	S3	1.048754494	-0.74761688	TVGs
TraesCS5D01G411400	639	S3	2.403828584	0.019435637	TVGs
TraesCS5D01G419100	1614	S3	3.562082396	0.675076172	TVGs
TraesCS5D01G432600	150	S3	4.984142212	1.480046594	TVGs
TraesCS5D01G444700	1730	S3	3.662096283	0.73168998	TVGs
TraesCS5D01G476000	115	S3	3.920595017	0.878015636	TVGs
TraesCS5D01G481300	16	S3	1.111782715	-0.711939159	TVGs
TraesCS5D01G485100	857	S3	3.079693917	0.402015607	TVGs
TraesCS5D01G495000	1963	S3	3.36528529	0.563677307	TVGs
TraesCS5D01G496000	219	S3	5.899869849	1.998402892	TVGs
TraesCS5D01G565800	1670	S3	2.990537459	0.35154775	TVGs
TraesCS6A01G013700	619	S3	2.949244145	0.328173279	TVGs
TraesCS6A01G023300	371	S3	3.27782167	0.514167697	TVGs
TraesCS6A01G024900	1327	S3	1.070835154	-0.735117914	TVGs
TraesCS6A01G040400	569	S3	2.41618847	0.026432067	TVGs
TraesCS6A01G102100	1382	S3	2.777563258	0.230991687	TVGs
TraesCS6A01G131200	1848	S3	1.361490406	-0.570589757	TVGs
TraesCS6A01G173200	931	S3	7.530748527	2.921577208	TVGs
TraesCS6A01G198100	126	S3	1.514397324	-0.484035348	TVGs
TraesCS6A01G217400	124	S3	3.215524631	0.478903869	TVGs
TraesCS6A01G222800	1215	S3	1.010606287	-0.769211034	TVGs
TraesCS6A01G262700	1210	S3	4.691588299	1.314443682	TVGs
TraesCS6A01G266000	1296	S3	3.938288262	0.888031064	TVGs
TraesCS6A01G266900	249	S3	1.50340666	-0.490256718	TVGs
TraesCS6A01G275600	1538	S3	2.169767009	-0.113057134	TVGs
TraesCS6A01G290800	12	S3	1.96627659	-0.228244812	TVGs
TraesCS6A01G296400	392	S3	2.807916171	0.248173241	TVGs
TraesCS6A01G315300	1149	S3	1.276279219	-0.618824356	TVGs
TraesCS6A01G316400	586	S3	1.509532973	-0.48678886	TVGs
TraesCS6A01G331100	752	S3	1.532056182	-0.474039384	TVGs
TraesCS6A01G337100	185	S3	1.672104963	-0.394763446	TVGs
TraesCS6A01G340300	1537	S3	1.959039851	-0.232341236	TVGs
TraesCS6B01G011800	941	S3	1.462855423	-0.513211129	TVGs
TraesCS6B01G020900	587	S3	2.86169081	0.278612884	TVGs
TraesCS6B01G031600	1000	S3	3.431260085	0.601022965	TVGs
TraesCS6B01G088500	168	S3	1.072192469	-0.734349593	TVGs
TraesCS6B01G089400	823	S3	1.375516447	-0.562650183	TVGs
TraesCS6B01G093600	548	S3	2.472182219	0.058127859	TVGs
TraesCS6B01G115200	939	S3	1.35340236	-0.575168072	TVGs
TraesCS6B01G136700	1077	S3	1.593107448	-0.439480737	TVGs
TraesCS6B01G196500	229	S3	2.645525362	0.156250386	TVGs
TraesCS6B01G238900	1322	S3	1.776963245	-0.335407423	TVGs
TraesCS6B01G247200	116	S3	3.951988501	0.895786214	TVGs
TraesCS6B01G326200	568	S3	2.476188762	0.060395801	TVGs
TraesCS6B01G328000	1683	S3	1.818749351	-0.311754002	TVGs
TraesCS6B01G340300	1873	S3	2.068812872	-0.170203179	TVGs
TraesCS6B01G349300	94	S3	1.631238669	-0.417896199	TVGs
TraesCS6B01G367800	171	S3	1.701559515	-0.378090418	TVGs
TraesCS6B01G456400	1023	S3	1.681266377	-0.389577541	TVGs
TraesCS6D01G003300	1671	S3	1.154524475	-0.687744781	TVGs
TraesCS6D01G026400	627	S3	2.070003977	-0.169528942	TVGs
